,Forecast_MW
2018-08-26 17:00:00,6620.6626
2018-08-26 18:00:00,6719.9946
2018-08-26 19:00:00,6595.305
2018-08-26 20:00:00,6481.618
2018-08-26 21:00:00,6446.1885
2018-08-26 22:00:00,6209.691
2018-08-26 23:00:00,5804.7827
2018-08-27 00:00:00,5546.8867
2018-08-27 01:00:00,5174.391
2018-08-27 02:00:00,4949.123
2018-08-27 03:00:00,4868.8564
2018-08-27 04:00:00,4854.12
2018-08-27 05:00:00,4887.3945
2018-08-27 06:00:00,5266.9717
2018-08-27 07:00:00,5687.582
2018-08-27 08:00:00,5907.1494
2018-08-27 09:00:00,5982.6445
2018-08-27 10:00:00,6080.145
2018-08-27 11:00:00,6348.644
2018-08-27 12:00:00,6534.139
2018-08-27 13:00:00,6607.013
2018-08-27 14:00:00,6656.7373
2018-08-27 15:00:00,6686.4487
2018-08-27 16:00:00,6701.3643
2018-08-27 17:00:00,6632.225
2018-08-27 18:00:00,6582.8994
2018-08-27 19:00:00,6456.691
2018-08-27 20:00:00,6357.729
2018-08-27 21:00:00,6276.409
2018-08-27 22:00:00,6006.0117
2018-08-27 23:00:00,5622.1025
2018-08-28 00:00:00,5154.7954
2018-08-28 01:00:00,4762.355
2018-08-28 02:00:00,4513.8447
2018-08-28 03:00:00,4431.158
2018-08-28 04:00:00,4454.117
2018-08-28 05:00:00,4564.5576
2018-08-28 06:00:00,4853.5283
2018-08-28 07:00:00,5290.838
2018-08-28 08:00:00,5544.097
2018-08-28 09:00:00,5698.8345
2018-08-28 10:00:00,5808.2925
2018-08-28 11:00:00,6076.8647
2018-08-28 12:00:00,6274.5923
2018-08-28 13:00:00,6352.1597
2018-08-28 14:00:00,6420.052
2018-08-28 15:00:00,6476.014
2018-08-28 16:00:00,6522.322
2018-08-28 17:00:00,6503.561
2018-08-28 18:00:00,6525.752
2018-08-28 19:00:00,6399.805
2018-08-28 20:00:00,6285.527
2018-08-28 21:00:00,6263.7324
2018-08-28 22:00:00,6030.3667
2018-08-28 23:00:00,5667.6045
2018-08-29 00:00:00,5154.8076
2018-08-29 01:00:00,4762.805
2018-08-29 02:00:00,4518.4277
2018-08-29 03:00:00,4434.6606
2018-08-29 04:00:00,4461.9287
2018-08-29 05:00:00,4571.8325
2018-08-29 06:00:00,4845.018
2018-08-29 07:00:00,5284.301
2018-08-29 08:00:00,5532.71
2018-08-29 09:00:00,5674.6406
2018-08-29 10:00:00,5813.394
2018-08-29 11:00:00,6098.6733
2018-08-29 12:00:00,6303.2466
2018-08-29 13:00:00,6378.694
2018-08-29 14:00:00,6452.748
2018-08-29 15:00:00,6496.584
2018-08-29 16:00:00,6543.8945
2018-08-29 17:00:00,6529.265
2018-08-29 18:00:00,6544.5913
2018-08-29 19:00:00,6418.6445
2018-08-29 20:00:00,6307.1973
2018-08-29 21:00:00,6271.7676
2018-08-29 22:00:00,6038.9707
2018-08-29 23:00:00,5683.9917
2018-08-30 00:00:00,5161.799
2018-08-30 01:00:00,4766.2534
2018-08-30 02:00:00,4521.876
2018-08-30 03:00:00,4438.109
2018-08-30 04:00:00,4464.595
2018-08-30 05:00:00,4572.8066
2018-08-30 06:00:00,4845.992
2018-08-30 07:00:00,5281.2837
2018-08-30 08:00:00,5523.9004
2018-08-30 09:00:00,5665.831
2018-08-30 10:00:00,5807.6787
2018-08-30 11:00:00,6088.2183
2018-08-30 12:00:00,6287.525
2018-08-30 13:00:00,6361.983
2018-08-30 14:00:00,6436.037
2018-08-30 15:00:00,6479.873
2018-08-30 16:00:00,6527.1836
2018-08-30 17:00:00,6509.975
2018-08-30 18:00:00,6525.7466
2018-08-30 19:00:00,6399.8
2018-08-30 20:00:00,6287.493
2018-08-30 21:00:00,6252.0635
2018-08-30 22:00:00,6028.29
2018-08-30 23:00:00,5690.5205
2018-08-31 00:00:00,5171.9775
2018-08-31 01:00:00,4775.7563
2018-08-31 02:00:00,4528.9976
2018-08-31 03:00:00,4445.2305
2018-08-31 04:00:00,4471.717
2018-08-31 05:00:00,4572.341
2018-08-31 06:00:00,4835.1016
2018-08-31 07:00:00,5254.409
2018-08-31 08:00:00,5497.026
2018-08-31 09:00:00,5642.1353
2018-08-31 10:00:00,5786.193
2018-08-31 11:00:00,6064.982
2018-08-31 12:00:00,6264.2886
2018-08-31 13:00:00,6337.929
2018-08-31 14:00:00,6411.9834
2018-08-31 15:00:00,6455.8193
2018-08-31 16:00:00,6501.325
2018-08-31 17:00:00,6470.5923
2018-08-31 18:00:00,6495.098
2018-08-31 19:00:00,6367.016
2018-08-31 20:00:00,6241.708
2018-08-31 21:00:00,6193.8164
2018-08-31 22:00:00,5964.589
2018-08-31 23:00:00,5652.6807
2018-09-01 00:00:00,5132.4814
2018-09-01 01:00:00,4765.9404
2018-09-01 02:00:00,4496.5107
2018-09-01 03:00:00,4393.3794
2018-09-01 04:00:00,4403.204
2018-09-01 05:00:00,4501.698
2018-09-01 06:00:00,4693.4956
2018-09-01 07:00:00,4956.043
2018-09-01 08:00:00,5165.763
2018-09-01 09:00:00,5428.499
2018-09-01 10:00:00,5646.1724
2018-09-01 11:00:00,5970.715
2018-09-01 12:00:00,6202.931
2018-09-01 13:00:00,6290.5376
2018-09-01 14:00:00,6361.3765
2018-09-01 15:00:00,6405.2124
2018-09-01 16:00:00,6475.0996
2018-09-01 17:00:00,6480.8755
2018-09-01 18:00:00,6554.0996
2018-09-01 19:00:00,6428.153
2018-09-01 20:00:00,6312.4937
2018-09-01 21:00:00,6277.064
2018-09-01 22:00:00,6072.4097
2018-09-01 23:00:00,5805.4717
2018-09-02 00:00:00,5240.8076
